GRAVEDAD,FECHA,AÑO,HORA,JORNADA,DIA_SEMANA,BARRIOS-COREGIMIENTO- VIA,DIRECCION,ZONA,AUTORIDAD,LAT,LONG,HIPOTESIS,CONDICION DE LA VICTIMA,CLASE DE SINIESTRO,LESIONADO,HOMICIDIOS,CLINICA,SITIO,CLASE VEHICULO,MARCA,MATRICULA,TIPO DE SERVICIO,EMPRESA, , 
DAÑOS,01/01/2020 12:00:00 AM,2020,1899-12-31T19:10:00.000,NOCHE,3_MIERCOLES,OLIMPICO,CALLE 23 CARRERA 35 A,URBANA,TECNICO,352.189,-7.630.695,NO RESPETAR PRELACION,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,CHEVROLET,CALI,PARTICULAR,NO APLICA,,
DAÑOS,01/01/2020 12:00:00 AM,2020,1899-12-31T19:10:00.000,NOCHE,3_MIERCOLES,OLIMPICO,CALLE 23 CARRERA 35 A,URBANA,TECNICO,352.189,-7.630.695,NO RESPETAR PRELACION,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,KIA,CALI,PARTICULAR,NO APLICA,,
DAÑOS,01/02/2020 12:00:00 AM,2020,1899-12-31T12:10:00.000,TARDE,4_JUEVES,INDUSTRIAL,CALLE 42 CARRERA 35,URBANA,TECNICO,3.5387,-7.630.631,NO ESTAR PENDIENTE DE LA VIA,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,CAMIONETA,CHEVROLET,CUNDINAMARCA,PARTICULAR,NO APLICA,,
DAÑOS,01/02/2020 12:00:00 AM,2020,1899-12-31T12:10:00.000,TARDE,4_JUEVES,INDUSTRIAL,CALLE 42 CARRERA 35,URBANA,TECNICO,3.5387,-7.630.631,NO ESTAR PENDIENTE DE LA VIA,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,DAEWOO,CALI,PARTICULAR,NO APLICA,,
HERIDOS,01/01/2020 12:00:00 AM,2020,1899-12-31T12:20:00.000,TARDE,3_MIERCOLES,ZAMORANO,CARRERA 28 CALLE 664A-19,URBANA,TECNICO,355.325,-7.629.304,NO MANTENER DISTANCIA DE SEGURIDAD,MOTOCICLISTA,CHOQUE,1,NO APLICA,PALMA,NO APLICA,MOTO,HONDA,PRADERA,PARTICULAR,NO APLICA,,
HERIDOS,01/01/2020 12:00:00 AM,2020,1899-12-31T12:20:00.000,TARDE,3_MIERCOLES,ZAMORANO,CARRERA 28 CALLE 664A-19,URBANA,TECNICO,355.325,-7.629.304,NO MANTENER DISTANCIA DE SEGURIDAD,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,MAZDA,CALI,PARTICULAR,NO APLICA,,
HERIDOS,01/01/2020 12:00:00 AM,2020,1899-12-31T12:20:00.000,TARDE,3_MIERCOLES,ZAMORANO,CARRERA 28 CALLE 664A-19,URBANA,TECNICO,355.325,-7.629.304,NO MANTENER DISTANCIA DE SEGURIDAD,ACOMPAÑANTE MOTOCICLISTA,CHOQUE,1,NO APLICA,PALMA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA,,
DAÑOS,01/02/2020 12:00:00 AM,2020,1899-12-31T14:10:00.000,TARDE,4_JUEVES,AEROPUERTO,PUERTA 3,RURAL,TECNICO,354.674,-7.638.272,ADELANTAR CERRANDO,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,KIA,CALI,PARTICULAR,NO APLICA,,
DAÑOS,01/02/2020 12:00:00 AM,2020,1899-12-31T14:10:00.000,TARDE,4_JUEVES,AEROPUERTO,PUERTA 3,RURAL,TECNICO,354.674,-7.638.272,ADELANTAR CERRANDO,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,HYUNDAI,CALI,PARTICULAR,NO APLICA,,
DAÑOS,01/03/2020 12:00:00 AM,2020,1899-12-31T14:10:00.000,TARDE,5_VIERNES,RECREO,CALLE 22 CARRERA 30,URBANA,TECNICO,352.049,-7.630.189,DESOBEDECER SEÑALES,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,MOTO,HONDA,PALMIRA,PARTICULAR,NO APLICA,,
DAÑOS,01/03/2020 12:00:00 AM,2020,1899-12-31T14:10:00.000,TARDE,5_VIERNES,RECREO,CALLE 22 CARRERA 30,URBANA,TECNICO,352.049,-7.630.189,DESOBEDECER SEÑALES,NO APLICA,CHOQUE,NO APLICA,NO APLICA,NO APLICA,NO APLICA,AUTOMOVIL,CHEVROLET,BOGOTA,PARTICULAR,NO APLICA,,
